Dates,12M,18M,2Y,3Y,4Y,5Y,6Y,7Y,8Y,9Y,10Y,12Y,15Y,20Y,25Y,30Y
2/27/2026,3.4244,3.2752,3.2086,3.1623,3.1815,3.224,3.2806,3.3412,3.4017,3.4605,3.5172,3.6234,3.7506,3.8673,3.8953,3.8795
2/26/2026,3.4528,3.3165,3.2601,3.2242,3.2491,3.2958,3.3541,3.4157,3.4762,3.5346,3.5915,3.6967,3.8228,3.9376,3.9639,3.9468
2/25/2026,3.4815,3.3557,3.3031,3.2715,3.2962,3.3426,3.4001,3.4614,3.5209,3.579,3.6349,3.7388,3.864,3.9771,4.002,3.9838
2/24/2026,3.4712,3.3391,3.2805,3.2407,3.26,3.3031,3.361,3.4231,3.4838,3.5423,3.5992,3.7048,3.8312,3.946,3.972,3.9545
2/23/2026,3.4532,3.3134,3.2539,3.2184,3.2454,3.2939,3.3562,3.4215,3.4852,3.5459,3.6043,3.7137,3.8444,3.9625,3.9909,3.9758
2/20/2026,3.4699,3.3461,3.2984,3.2789,3.31,3.359,3.4216,3.486,3.5482,3.6073,3.6642,3.7682,3.8925,4.0033,4.026,4.0064
2/19/2026,3.4492,3.3249,3.2805,3.2681,3.3046,3.3565,3.4182,3.4817,3.5423,3.6005,3.6563,3.7593,3.8823,3.992,4.014,3.9934
2/18/2026,3.4473,3.3263,3.2841,3.2766,3.3167,3.3717,3.4351,3.5,3.5617,3.6203,3.6764,3.7795,3.9019,4.01,4.0315,4.0104
2/17/2026,3.4328,3.3035,3.2575,3.2481,3.2876,3.3425,3.4066,3.4721,3.5348,3.5939,3.6503,3.7545,3.8787,3.9887,4.0115,3.991
2/16/2026,3.4071,3.2791,3.2362,3.2312,3.2727,3.329,3.3944,3.4608,3.5248,3.5848,3.642,3.7485,3.8761,3.9901,4.0155,3.997
2/13/2026,3.4071,3.2791,3.2362,3.2312,3.2727,3.329,3.3944,3.4608,3.5248,3.5848,3.642,3.7485,3.8761,3.9901,4.0155,3.997
2/12/2026,3.4322,3.3159,3.2808,3.282,3.3249,3.3803,3.4455,3.5111,3.5738,3.633,3.6891,3.7929,3.9174,4.028,4.0507,4.0301
2/11/2026,3.4651,3.3652,3.3408,3.3551,3.405,3.4643,3.5302,3.5957,3.6571,3.7154,3.771,3.8743,3.9979,4.108,4.13,4.1085
2/10/2026,3.404,3.3059,3.2848,3.3037,3.3601,3.4257,3.4952,3.5637,3.6274,3.6874,3.7446,3.8504,3.9772,4.09,4.1134,4.0927
2/9/2026,3.4242,3.3314,3.3165,3.3434,3.4018,3.4682,3.5406,3.6111,3.6768,3.7385,3.7967,3.9051,4.0344,4.149,4.1735,4.1537
2/6/2026,3.436,3.3451,3.332,3.3603,3.4186,3.4835,3.5536,3.622,3.6855,3.7457,3.8024,3.9086,4.0356,4.1481,4.1707,4.1495
2/5/2026,3.4001,3.3035,3.2852,3.3099,3.3709,3.4395,3.5112,3.581,3.6462,3.7075,3.7659,3.8745,4.0043,4.1193,4.144,4.124
2/4/2026,3.4907,3.4042,3.3936,3.4252,3.4856,3.5527,3.6238,3.6933,3.7576,3.818,3.8755,3.9825,4.1095,4.2219,4.2447,4.2233
2/3/2026,3.5023,3.4173,3.4072,3.4359,3.4923,3.5557,3.6241,3.6916,3.754,3.8129,3.8688,3.9731,4.0978,4.2074,4.2284,4.2052
2/2/2026,3.5038,3.4181,3.4076,3.4368,3.4957,3.5625,3.634,3.7041,3.7687,3.8296,3.8871,3.993,4.1194,4.2297,4.2513,4.2292
